"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
1,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
2,NA,NA,NA,NA,NA,NA
3,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
7,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA
8,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
9,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
10,NA,NA,NA,NA,NA,NA
11,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
12,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
13,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
14,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles"
15,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
16,"Man","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles"
17,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","6-10 years","3-4 articles"
18,NA,NA,NA,NA,NA,NA
19,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
20,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
21,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles"
22,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
23,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
24,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
25,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","More than 4 articles"
26,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
27,"Woman","Associate Professor","Non-STEM","This year","6-10 years",NA
28,"Woman","Post Doc","Non-STEM","This year","1-5 years",NA
29,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
30,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
31,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA
32,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","More than 10 years ago or Never",NA,NA
33,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles"
34,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
35,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
36,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
37,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
38,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
39,"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
40,"Woman","Assistant Professor","Non-STEM","In the last year","6-10 years",NA
41,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
42,"Man","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles"
43,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
44,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
45,NA,NA,NA,NA,NA,NA
46,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
47,"Man","Associate Professor","Non-STEM","This year","More than 10 years",NA
48,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA
49,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
50,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
51,"Man","PhD student","Non-STEM","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
52,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
53,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
54,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
55,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles"
56,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
57,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
58,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
59,"Prefer not to say","PhD student","Non-STEM","In the last year","6-10 years","More than 4 articles"
