"finished","consent","academic_yes_no","research_yes_no","gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_workload_5","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","attention_2","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","open_time","anonym_id","attention"
TRUE,TRUE,TRUE,TRUE,"Woman","Full Professor","Non-STEM","This year","More than 10 years","","Never","Never","Rarely","Rarely","Strongly disagree","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Sometimes","Sometimes","Rarely","Often","Rarely","Sometimes","Sometimes","Rarely","Always","Often","Sometimes","Often","Always","Often","Strongly agree","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Always","Often","Sometimes","Often","Sometimes","Often","Always","Always","Agree","Disagree","Agree","Agree","Disagree","Agree","Slightly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Slightly satisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Satisfied","Agree",1,"Passed"
TRUE,TRUE,FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,"Failed"
TRUE,TRUE,TRUE,TRUE,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years","","Often","Often","Often","Often","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Sometimes","Sometimes","Sometimes","Often","Never","Rarely","Rarely","Rarely","Often","Often","Never","Always","Sometimes","Sometimes","Strongly agree","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Slightly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Agree",3,"Passed"
TRUE,TRUE,FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,"Failed"
TRUE,TRUE,FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,"Failed"
TRUE,TRUE,FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,"Failed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","Non-STEM","This year","More than 10 years","","Sometimes","Rarely","Never","Never","Disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Sometimes","Often","Sometimes","Sometimes","Rarely","Sometimes","Often","Never","Often","Often","Rarely","Often","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Often","Always","Often","Often","Often","Often","Always","Often","Slightly agree","Slightly agree","Slightly agree","Agree","Slightly disagree","Neither agree nor disagree","Slightly agree","Slightly agree","Disagree","Disagree","Agree","Slightly disagree","Slightly dissatisfied","Slightly dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree",7,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Sometimes","Rarely","Sometimes","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Always","Often","Often","Never","Rarely","Often","Often","Often","Sometimes","Often","Sometimes","Often","Often","Often","Strongly agree","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Often","Sometimes","Rarely","Often","Sometimes","Always","Often","Sometimes","Disagree","Agree","Neither agree nor disagree","Slightly disagree","Slightly agree","Disagree","Agree","Disagree","Slightly agree","Neither agree nor disagree","Slightly disagree","Strongly disagree","Dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly satisfied","Slightly satisfied","Agree",8,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years","","Often","Sometimes","Sometimes","Rarely","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Always","Rarely","Always","Rarely","Rarely","Rarely","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Always","Always","Strongly agree","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Always","Always","Sometimes","Often","Rarely","Sometimes","Always","Always","Neither agree nor disagree","Agree","Agree","Strongly agree","Agree","Agree","","","","","Neither agree nor disagree","Neither agree nor disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Very satisfied","Very satisfied","Disagree",9,"Passed"
TRUE,TRUE,FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,"Failed"
