"anonym_id","bat_1","bat_2","bat_3","bat_4","ppqr_stress_1","ppqr_stress_2","ppqr_stress_3","ppqr_stress_4","ppqr_stress_5","ppqr_stress_6","ppqr_attitude_7","ppqr_attitude_8","ppqr_attitude_9","ppqr_attitude_10","ppqr_attitude_11","ppqr_attitude_12","ppqr_resources_13","ppqr_resources_14","ppqr_resources_15","ppqr_resources_16","ppqr_resources_17","ppqr_resources_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_12","role_ambiguity_8","role_ambiguity_4","role_ambiguity_2","role_ambiguity_6","role_conflict_7","role_conflict_10","role_conflict_6","role_conflict_2","role_conflict_4","role_conflict_8","role_conflict_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","open_practice"
1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,5,5,5,5,1,1,1,1,1,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,2,1,3,2,1,1,1,7,1,7,7,7,1,7,7,7,7,1,7,7,7,7,1,1,1,1
2,3,3,2,2,1,5,5,4,4,1,1,5,4,4,4,4,1,4,5,1,3,4,2,2,1,4,5,5,5,5,5,5,5,4,3,2,2,3,4,1,4,4,4,1,1,1,2,3,1,1,2,4,5,2,4,3,4,3,2,6,7,1,4,2,2,2,7,2,2,4,1,7,2,2,1,6,2,2,1
3,4,4,2,4,1,1,4,2,2,5,2,4,5,3,4,3,4,4,5,1,3,5,4,4,2,4,3,3,3,2,3,4,3,3,5,5,4,4,4,2,4,5,5,1,1,1,2,1,1,1,1,5,5,3,4,5,5,4,4,5,6,1,2,5,3,2,5,3,5,2,1,6,2,2,2,6,6,5,1
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3,3,4,4,4,4,4,2,2,5,5,5,5,2,5,4,4,2,3,3,2,4,3,2,3,5,5,5,5,4,3,3,4,3,3,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,4,6,2,3,3,3,2,6,3,3,3,2,6,5,5,2,3,2,2,1
6,3,3,2,2,3,3,5,4,3,3,4,4,4,4,4,3,2,4,5,3,3,3,5,5,3,4,4,4,4,4,4,1,4,4,2,2,2,3,4,3,4,5,5,1,1,1,2,3,1,1,1,4,4,2,3,3,4,5,5,5,3,3,3,5,3,4,5,3,5,3,3,3,4,4,7,5,5,4,1
7,3,3,2,4,4,5,5,4,2,2,3,4,4,4,3,5,4,4,5,1,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,1,1,1,1,2,1,3,3,4,4,3,4,2,3,4,4,5,3,3,3,6,2,4,5,2,6,3,3,3,2,2,2,4,5,6,1
8,2,2,2,2,1,2,2,2,4,5,3,4,4,4,4,5,5,5,5,1,1,4,5,5,5,5,1,1,1,1,3,4,3,2,5,5,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,4,3,3,4,3,4,4,3,5,6,3,6,2,3,5,3,3,2,6,3,6,6,6,6,6,6,6,1
9,2,3,2,3,2,2,4,3,2,4,2,3,3,4,4,4,4,4,4,2,4,4,4,4,2,5,2,1,2,2,4,4,4,4,3,3,2,4,4,3,4,4,4,2,1,1,2,4,1,2,3,4,4,3,3,3,4,3,3,3,6,1,3,2,4,3,5,4,2,3,1,6,7,6,6,5,5,5,1
10,3,3,2,4,5,2,4,3,3,5,5,5,5,5,3,5,4,4,4,3,4,3,5,5,3,5,1,1,2,1,3,3,1,2,5,5,2,4,4,1,3,4,3,3,1,3,1,3,1,3,3,4,3,2,3,4,5,4,4,7,5,7,3,6,2,4,3,2,6,3,7,5,3,5,2,5,5,5,1
11,4,3,2,3,2,5,4,4,3,3,4,4,4,5,2,4,4,4,4,2,2,4,5,5,4,4,4,4,3,2,3,3,3,3,2,1,1,3,3,3,3,4,4,1,1,1,2,2,1,1,1,3,4,3,4,4,4,4,4,5,3,3,3,3,3,3,5,3,3,3,3,3,2,2,2,2,5,5,1
12,4,1,2,3,2,4,5,1,4,2,4,5,5,5,3,5,4,4,2,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,2,3,4,3,5,5,4,2,2,2,1,2,1,1,2,3,3,2,2,3,4,4,4,7,2,5,5,6,3,7,1,3,6,5,5,2,5,5,5,5,6,6,1
13,2,2,1,2,2,2,4,2,4,4,2,2,2,2,4,2,4,3,4,2,2,4,4,4,2,3,1,1,1,1,3,2,3,2,4,4,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,5,5,3,4,4,4,5,4,6,6,1,2,5,4,3,5,4,5,2,1,6,7,7,2,6,6,4,1
14,2,3,2,2,2,3,2,2,4,4,4,5,5,5,2,5,3,4,4,2,2,5,1,4,2,2,1,2,1,1,2,3,2,2,4,4,4,5,4,4,4,4,4,2,1,1,2,1,1,1,3,4,4,4,4,5,4,3,2,7,6,6,1,6,3,7,3,3,6,1,6,6,5,5,5,7,4,4,1
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4,4,3,4,5,5,5,5,2,1,4,4,4,5,2,4,5,4,5,2,4,3,4,4,1,4,5,5,5,5,5,5,5,5,4,5,3,4,4,3,3,4,4,1,1,2,3,4,1,2,1,4,3,2,3,2,3,4,3,4,5,1,4,2,4,1,6,4,2,4,1,5,2,2,1,2,3,4,1
